
--- [START Swin] ----------------------------------------------------------------


** dataset setting **
fold = 4
train_dataset : 
	len = 281
                  kidney  79 (0.281) 
                prostate  74 (0.263) 
          largeintestine  47 (0.167) 
                  spleen  42 (0.149) 
                    lung  39 (0.139) 

valid_dataset : 
	len = 70
                  kidney  20 (0.286) 
                prostate  19 (0.271) 
          largeintestine  11 (0.157) 
                  spleen  11 (0.157) 
                    lung   9 (0.129) 


** net setting **
optimizer
  AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 4e-05
    maximize: False
    weight_decay: 0.01
)

** start training here! **
   batch_size = 4 
                     |---------------- VALID--------------|---- TRAIN/BATCH ----------------
rate     iter  epoch | dice   loss  best_dice  best_epoch | loss           | time           
-------------------------------------------------------------------------------------
0.00e+0   00000000*   0.00 | 0.069  0.000  0.0694  0.000  0.017  0.157  0.063  0.029  0.058   | 0.000  0.000   | 18.021573543548584
4.00e-5   00000070*   1.00 | 0.613  0.000  0.6130  1.000  0.693  0.816  0.756  0.407  0.085   | 0.691  0.813   | 79.07135820388794
4.00e-5   00000140*   2.00 | 0.680  0.000  0.6798  2.000  0.824  0.832  0.810  0.538  0.054   | 0.254  0.876   | 140.04943203926086
4.00e-5   00000210*   3.00 | 0.710  0.000  0.7102  3.000  0.850  0.831  0.819  0.678  0.053   | 0.151  0.882   | 201.07925701141357
4.00e-5   00000280*   4.00 | 0.742  0.000  0.7416  4.000  0.853  0.860  0.853  0.684  0.178   | 0.108  0.901   | 262.64937686920166
4.00e-5   00000350*   5.00 | 0.762  0.000  0.7617  5.000  0.903  0.848  0.847  0.729  0.202   | 0.096  0.921   | 324.1064431667328
4.00e-5   00000420*   6.00 | 0.704  0.000  0.7617  5.000  0.895  0.705  0.824  0.639  0.208   | 0.093  0.921   | 384.79245710372925
4.00e-5   00000490*   7.00 | 0.762  0.000  0.7622  7.000  0.865  0.867  0.867  0.736  0.217   | 0.091  0.936   | 445.76235842704773
4.00e-5   00000560*   8.00 | 0.785  0.000  0.7848  8.000  0.916  0.862  0.873  0.771  0.239   | 0.095  0.933   | 506.79693841934204
4.00e-5   00000630*   9.00 | 0.774  0.000  0.7848  8.000  0.892  0.861  0.859  0.778  0.220   | 0.087  0.938   | 567.5332310199738
4.00e-5   00000700*  10.00 | 0.766  0.000  0.7848  8.000  0.890  0.868  0.841  0.761  0.185   | 0.074  0.955   | 627.5373466014862
4.00e-5   00000770*  11.00 | 0.792  0.000  0.7919  11.000  0.909  0.874  0.881  0.796  0.244   | 0.082  0.953   | 688.6048474311829
4.00e-5   00000840*  12.00 | 0.788  0.000  0.7919  11.000  0.923  0.858  0.880  0.802  0.208   | 0.076  0.961   | 749.9028887748718
4.00e-5   00000910*  13.00 | 0.781  0.000  0.7919  11.000  0.914  0.873  0.879  0.753  0.209   | 0.074  0.956   | 811.1196455955505
4.00e-5   00000980*  14.00 | 0.788  0.000  0.7919  11.000  0.931  0.822  0.883  0.807  0.255   | 0.068  0.969   | 871.7610223293304
4.00e-5   00001050*  15.00 | 0.762  0.000  0.7919  11.000  0.886  0.854  0.882  0.716  0.205   | 0.069  0.966   | 932.7985541820526
4.00e-5   00001120*  16.00 | 0.801  0.000  0.8015  16.000  0.938  0.871  0.887  0.805  0.241   | 0.082  0.938   | 993.9815201759338
4.00e-5   00001190*  17.00 | 0.794  0.000  0.8015  16.000  0.938  0.862  0.889  0.793  0.215   | 0.069  0.952   | 1054.8837897777557
