
--- [START Swin] ----------------------------------------------------------------


** dataset setting **
fold = 3
train_dataset : 
	len = 281
                  kidney  80 (0.285) 
                prostate  74 (0.263) 
          largeintestine  46 (0.164) 
                  spleen  42 (0.149) 
                    lung  39 (0.139) 

valid_dataset : 
	len = 70
                  kidney  19 (0.271) 
                prostate  19 (0.271) 
          largeintestine  12 (0.171) 
                  spleen  11 (0.157) 
                    lung   9 (0.129) 


** net setting **
optimizer
  AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 4e-05
    maximize: False
    weight_decay: 0.01
)

** start training here! **
   batch_size = 4 
                     |---------------- VALID--------------|---- TRAIN/BATCH ----------------
rate     iter  epoch | dice   loss  best_dice  best_epoch | loss           | time           
-------------------------------------------------------------------------------------
0.00e+0   00000000*   0.00 | 0.011  0.000  0.0113  0.000  0.005  0.015  0.013  0.001  0.026   | 0.000  0.000   | 18.026643991470337
4.00e-5   00000070*   1.00 | 0.415  0.000  0.4147  1.000  0.352  0.658  0.725  0.056  0.056   | 0.650  0.772   | 78.7315022945404
4.00e-5   00000140*   2.00 | 0.647  0.000  0.6471  2.000  0.769  0.737  0.767  0.616  0.079   | 0.279  0.769   | 140.51196455955505
4.00e-5   00000210*   3.00 | 0.688  0.000  0.6881  3.000  0.811  0.780  0.806  0.632  0.147   | 0.154  0.803   | 201.6574318408966
4.00e-5   00000280*   4.00 | 0.725  0.000  0.7246  4.000  0.886  0.791  0.842  0.684  0.138   | 0.112  0.810   | 263.1892156600952
4.00e-5   00000350*   5.00 | 0.725  0.000  0.7247  5.000  0.883  0.808  0.864  0.630  0.145   | 0.100  0.801   | 323.9495689868927
4.00e-5   00000420*   6.00 | 0.731  0.000  0.7314  6.000  0.900  0.818  0.871  0.605  0.161   | 0.095  0.812   | 385.013956785202
4.00e-5   00000490*   7.00 | 0.737  0.000  0.7369  7.000  0.888  0.806  0.847  0.663  0.216   | 0.087  0.814   | 445.52259612083435
4.00e-5   00000560*   8.00 | 0.740  0.000  0.7399  8.000  0.903  0.811  0.880  0.642  0.180   | 0.097  0.824   | 507.1905291080475
4.00e-5   00000630*   9.00 | 0.734  0.000  0.7399  8.000  0.903  0.798  0.877  0.615  0.196   | 0.085  0.825   | 567.7387940883636
4.00e-5   00000700*  10.00 | 0.750  0.000  0.7504  10.000  0.921  0.806  0.886  0.684  0.173   | 0.089  0.812   | 629.6560480594635
4.00e-5   00000770*  11.00 | 0.750  0.000  0.7504  10.000  0.932  0.789  0.887  0.680  0.183   | 0.075  0.808   | 690.4297299385071
4.00e-5   00000840*  12.00 | 0.758  0.000  0.7576  12.000  0.934  0.786  0.885  0.708  0.217   | 0.077  0.808   | 751.7222170829773
4.00e-5   00000910*  13.00 | 0.740  0.000  0.7576  12.000  0.890  0.817  0.839  0.753  0.109   | 0.068  0.809   | 811.9367952346802
4.00e-5   00000980*  14.00 | 0.743  0.000  0.7576  12.000  0.915  0.809  0.891  0.631  0.185   | 0.085  0.809   | 872.3349030017853
4.00e-5   00001050*  15.00 | 0.687  0.000  0.7576  12.000  0.912  0.796  0.891  0.328  0.152   | 0.077  0.838   | 933.0788331031799
4.00e-5   00001120*  16.00 | 0.699  0.000  0.7576  12.000  0.916  0.601  0.867  0.735  0.184   | 0.069  0.839   | 994.0243427753448
4.00e-5   00001190*  17.00 | 0.765  0.000  0.7647  17.000  0.927  0.817  0.892  0.692  0.232   | 0.077  0.834   | 1055.2041878700256
